id,nome,altura,endereco
1000,Mariana Cristine Mengue,188,"Avenida Francisco Glicério, 834 - Centro"
1001,Yasmin Bellini Trindade,201,"Rua Marechal Deodoro, 799 - Vila Itapura"
1002,Gabriel Cruz Araujo,178,"Avenida Anchieta, 721 - Centro"
1003,Daniel Queiroz Araujo,164,"Avenida Andrade Neves, 2466 - Castelo"
1004,Sofia Vieira Dias,192,"Avenida Andrade Neves, 2379 - Castelo"
1005,Maria de Medeiros Mengue,157,"Rua Barão de Itapura, 2623 - Guanabara"
1006,Clara de Oliveira Trindade,170,"Rua Paula Bueno, 773 - Taquaral"
1007,Samuel Franco Mengue,188,"Avenida Francisco Glicério, 1870 - Centro"
1008,Sofia de Oliveira Rodrigues,168,"Rua Marechal Deodoro, 1115 - Vila Itapura"
1009,Mariana Matos Mendes,172,"Avenida Francisco Glicério, 923 - Centro"
1010,Maria Santana Lopes,160,"Avenida Alberto Sarmento, 965 - Castelo"
1011,Victor Bellini da Costa,160,"Avenida Brasil, 989 - Guanabara"
1012,André de Almeida Rodrigues,173,"Avenida Albino José Barbosa de Oliveira, 3316 - Barão Geraldo"
1013,Maria Braz Melo,202,"Avenida Andrade Neves, 850 - Castelo"
1014,Eduardo de Oliveira Lima,185,"Avenida Albino José Barbosa de Oliveira, 3393 - Barão Geraldo"
1015,Henrique Cristine Amancio,189,"Rua Coronel Quirino, 120 - Cambuí"
1016,Livia Cristine Campos,173,"Rua Coronel Quirino, 161 - Cambuí"
1017,João Franco Melo,152,"Avenida Brasil, 593 - Guanabara"
1018,Thiago de Medeiros Araujo,171,"Rua Paula Bueno, 498 - Taquaral"
1019,Miguel Gomes Senzaki,202,"Avenida Andrade Neves, 189 - Castelo"
1020,Livia Vieira Mendes,151,"Rua Maria Monteiro, 415 - Cambuí"
1021,Guilherme Amorim Amaral,173,"Avenida Heitor Penteado, 906 - Taquaral"
1022,João Ferreira dos Santos,193,"Avenida Heitor Penteado, 1401 - Taquaral"
1023,Rafael Vieira Athayde,179,"Rua Marechal Deodoro, 465 - Vila Itapura"
1024,Matheus Santana Lima,187,"Avenida Francisco Glicério, 731 - Centro"
1025,Guilherme Vieira Barbosa,151,"Rua Doutor Delfino Cintra, 113 - Vila Itapura"
1026,Gabriel Cristine Pereira,170,"Rua Sampaio Ferraz, 150 - Cambuí"
1027,Giovanna Fernandes Castilho,182,"Avenida Albino José Barbosa de Oliveira, 1396 - Barão Geraldo"
1028,Vitória da Silva Mendonça,161,"Avenida Anchieta, 477 - Centro"
1029,João da Silva dos Santos,171,"Avenida Anchieta, 838 - Centro"
1030,Matheus Bellini Rodrigues,193,"Avenida Heitor Penteado, 2168 - Taquaral"
1031,Matheus Amorim Amancio,174,"Rua Doutor Delfino Cintra, 738 - Vila Itapura"
1032,Vinícius Amorim Mendonça,198,"Rua Maria Monteiro, 305 - Cambuí"
1033,Sofia Santana Mendonça,176,"Avenida Francisco Glicério, 795 - Centro"
1034,Miguel Nascimento Melo,191,"Rua Barão de Itapura, 2944 - Guanabara"
1035,Mariana Matos Mendes,177,"Rua Paula Bueno, 979 - Taquaral"
1036,Gabriel Queiroz Pinto,165,"Avenida Alberto Sarmento, 104 - Castelo"
1037,Vitória de Medeiros Trindade,164,"Rua Marechal Deodoro, 1196 - Vila Itapura"
1038,Vitória de Medeiros da Costa,196,"Avenida Heitor Penteado, 1352 - Taquaral"
1039,Henrique Nascimento Melo,200,"Avenida Francisco Glicério, 1157 - Centro"
1040,Clara de Oliveira Dias,193,"Rua Marechal Deodoro, 1140 - Vila Itapura"
1041,Rafael Braz dos Santos,204,"Rua Barão de Itapura, 957 - Guanabara"
1042,Mariana Alves Pereira,201,"Avenida Alberto Sarmento, 973 - Castelo"
1043,Mariana Fernandes Silva,152,"Rua Marechal Deodoro, 442 - Vila Itapura"
1044,Giovanna Cruz Trindade,186,"Rua Barão de Itapura, 3177 - Guanabara"
1045,Yasmin Gomes Mendes,200,"Avenida Andrade Neves, 2052 - Castelo"
1046,Giovanna Ferreira Domingues,156,"Rua Barão de Itapura, 833 - Guanabara"
1047,Victor Nascimento Campos,170,"Rua Paula Bueno, 1176 - Taquaral"
1048,Gabriel Cruz Machado,158,"Avenida Andrade Neves, 2036 - Castelo"
1049,Pedro Vieira Lima,188,"Avenida Albino José Barbosa de Oliveira, 2390 - Barão Geraldo"
1050,Beatriz Cristine Silva,167,"Avenida Albino José Barbosa de Oliveira, 858 - Barão Geraldo"
1051,Mariana de Almeida da Costa,153,"Avenida Francisco Glicério, 1861 - Centro"
1052,Matheus Ponciano Amaral,174,"Rua Marechal Deodoro, 910 - Vila Itapura"
1053,Clara Nascimento Pereira,163,"Avenida Anchieta, 445 - Centro"
1054,Vinícius Fernandes Machado,199,"Avenida Albino José Barbosa de Oliveira, 3460 - Barão Geraldo"
1055,Giovanna Gomes Barbosa,158,"Rua Paula Bueno, 273 - Taquaral"
1056,André Queiroz Araujo,175,"Avenida Francisco Glicério, 1218 - Centro"
1057,Daniel Queiroz Mendes,202,"Avenida Albino José Barbosa de Oliveira, 952 - Barão Geraldo"
1058,Larissa Bellini Lima,151,"Avenida Brasil, 1915 - Guanabara"
1059,Mariana Braz Senzaki,169,"Rua Barão de Itapura, 1845 - Guanabara"
1060,Guilherme Ponciano Mendonça,177,"Avenida Albino José Barbosa de Oliveira, 1781 - Barão Geraldo"
