nome,clube
Victor Matos Dias,Tênis Clube de Campinas
Livia Amorim Mendonça,Círculo Militar de Campinas
Yasmin de Medeiros Trindade,Círculo Militar de Campinas
Larissa Fernandes Dias,Associação Atlética Ponte Preta
Larissa Nascimento Barbosa,Associação Atlética Ponte Preta
Vitória Nascimento Athayde,Guarani Futebol Clube
Matheus da Silva Silva,Associação Atlética Ponte Preta
Vinícius Ponciano Amancio,Sociedade Hípica de Campinas
Felipe Alves Melo,Guarani Futebol Clube
Rafael Braz dos Santos,Sociedade Hípica de Campinas
João Mesquita Castilho,Círculo Militar de Campinas
Eduardo Bellini Camargo,Sociedade Hípica de Campinas
Eduardo Vieira Sanches,Guarani Futebol Clube
Larissa Martins Melo,Tênis Clube de Campinas
Larissa Mesquita Rodrigues,Círculo Militar de Campinas
Mariana Vieira Rodrigues,Tênis Clube de Campinas
João Matos Castilho,Tênis Clube de Campinas
Guilherme de Oliveira Lima,Guarani Futebol Clube
Pedro de Almeida Trindade,Sociedade Hípica de Campinas
Henrique Franco Amaral,Associação Atlética Ponte Preta
Mariana Queiroz Castilho,Associação Atlética Ponte Preta
Livia de Medeiros Castilho,Sociedade Hípica de Campinas
Beatriz Ferreira Mendonça,Associação Atlética Ponte Preta
Felipe Nascimento Lima,Sociedade Hípica de Campinas
Beatriz Martins Athayde,Tênis Clube de Campinas
Vitória Fernandes Trindade,Círculo Militar de Campinas
Matheus Franco Barbosa,Associação Atlética Ponte Preta
Miguel da Silva Campos,Círculo Militar de Campinas
Giovanna Cruz Silva,Círculo Militar de Campinas
Rafael Alves Araujo,Guarani Futebol Clube
Daniel Ponciano Silva,Tênis Clube de Campinas
Pedro Santana Campos,Tênis Clube de Campinas
Vitória de Medeiros Lima,Guarani Futebol Clube
Pedro Martins Pereira,Sociedade Hípica de Campinas
Clara Martins Mendonça,Associação Atlética Ponte Preta
Vitória Franco Campos,Tênis Clube de Campinas
Daniel Gomes Mendonça,Tênis Clube de Campinas
Clara Cruz Barbosa,Associação Atlética Ponte Preta
Mariana Bellini Lopes,Guarani Futebol Clube
Victor Santana Amancio,Tênis Clube de Campinas
Miguel Vieira Mengue,Tênis Clube de Campinas
Vitória Mesquita Castilho,Guarani Futebol Clube
Gabriel Fernandes Lima,Tênis Clube de Campinas
Beatriz Cristine Machado,Sociedade Hípica de Campinas
Victor Ferreira Ribeiro,Tênis Clube de Campinas
Mariana Vieira Barbosa,Associação Atlética Ponte Preta
Mariana Ponciano Sanches,Tênis Clube de Campinas
João da Silva Mendonça,Círculo Militar de Campinas
Beatriz Alves Barbosa,Círculo Militar de Campinas
Clara Braz Athayde,Sociedade Hípica de Campinas
Victor de Almeida Castilho,Sociedade Hípica de Campinas
Gabriel Cruz Mengue,Círculo Militar de Campinas
Miguel da Silva Soares,Associação Atlética Ponte Preta
Livia de Almeida Araujo,Guarani Futebol Clube
Yasmin Martins Athayde,Círculo Militar de Campinas
Sofia Alves Mendonça,Tênis Clube de Campinas
Maria de Almeida Campos,Sociedade Hípica de Campinas
Beatriz Alves Campos,Círculo Militar de Campinas
Daniel Martins Melo,Sociedade Hípica de Campinas
Thiago Ferreira Mengue,Tênis Clube de Campinas
Vitória Vieira Pinto,Associação Atlética Ponte Preta
Rafael Alves Camargo,Guarani Futebol Clube
Clara Fernandes Mendonça,Sociedade Hípica de Campinas
João Vieira da Costa,Círculo Militar de Campinas
Livia da Silva Dias,Círculo Militar de Campinas
Thiago Matos Trindade,Círculo Militar de Campinas
Beatriz de Oliveira Senzaki,Sociedade Hípica de Campinas
Larissa Ponciano da Costa,Círculo Militar de Campinas
Yasmin Queiroz dos Santos,Associação Atlética Ponte Preta
Victor Braz Domingues,Círculo Militar de Campinas
André Ponciano da Costa,Associação Atlética Ponte Preta
Sofia Matos Rodrigues,Sociedade Hípica de Campinas
Larissa Matos Silva,Sociedade Hípica de Campinas
Rafael da Silva Camargo,Tênis Clube de Campinas
Larissa Bellini Pinto,Círculo Militar de Campinas
Maria Paschoalino Machado,Associação Atlética Ponte Preta
Thiago Bellini Dias,Associação Atlética Ponte Preta
Yasmin da Silva Mengue,Sociedade Hípica de Campinas
Beatriz Nascimento Araujo,Sociedade Hípica de Campinas
Livia Martins Domingues,Guarani Futebol Clube
Maria Paschoalino Machado,Tênis Clube de Campinas
João da Silva Sanches,Sociedade Hípica de Campinas
Vitória Alves da Costa,Associação Atlética Ponte Preta
Vinícius Vieira Trindade,Guarani Futebol Clube
Mariana Paschoalino Mendonça,Associação Atlética Ponte Preta
Larissa de Medeiros Mengue,Sociedade Hípica de Campinas
Matheus Amorim Trindade,Tênis Clube de Campinas
Ricardo Cavalcanti de Moraes,Sociedade Hípica de Campinas
Pedro de Almeida Machado,Guarani Futebol Clube
Yasmin Amorim Pereira,Círculo Militar de Campinas
Mariana Bellini Araujo,Sociedade Hípica de Campinas
André de Medeiros Sanches,Círculo Militar de Campinas
Daniel Cruz Rodrigues,Guarani Futebol Clube
Erik de Oliveira Pinto,Tênis Clube de Campinas
Eduardo Santana Lopes,Associação Atlética Ponte Preta
Rafael Mesquita Domingues,Círculo Militar de Campinas
Sofia de Medeiros Machado,Associação Atlética Ponte Preta
Guilherme Braz Campos,Tênis Clube de Campinas
Thiago Gomes Machado,Associação Atlética Ponte Preta
Clara Matos Amancio,Sociedade Hípica de Campinas
André Matos Amaral,Tênis Clube de Campinas
Samuel Cruz Lopes,Associação Atlética Ponte Preta
Matheus Santana Ribeiro,Sociedade Hípica de Campinas
Maria Mesquita da Costa,Associação Atlética Ponte Preta
Pedro da Silva Mendes,Sociedade Hípica de Campinas
Matheus Paschoalino Trindade,Associação Atlética Ponte Preta
Gabriel Gomes Domingues,Associação Atlética Ponte Preta
Guilherme Martins Rodrigues,Sociedade Hípica de Campinas
Eduardo Matos Barbosa,Tênis Clube de Campinas
Eduardo Amorim Machado,Guarani Futebol Clube
Maria Fernandes Amancio,Sociedade Hípica de Campinas
Thiago Cristine Sanches,Sociedade Hípica de Campinas
Mariana Alves Pereira,Tênis Clube de Campinas
Maria Cristine Senzaki,Círculo Militar de Campinas
Erik Santana Machado,Guarani Futebol Clube
Maria Gomes Mengue,Círculo Militar de Campinas
Matheus Cristine Mendes,Círculo Militar de Campinas
Guilherme Braz Araujo,Círculo Militar de Campinas
Miguel de Medeiros Athayde,Associação Atlética Ponte Preta
Victor Alves da Costa,Círculo Militar de Campinas
