nome,placa,marca,cor
Vitória Mesquita Araujo,BFB2E73,VW,Cinza
Victor Vieira Senzaki,CCA9D75,Hyundai,Branco
Thiago Alves Campos,CFE3A76,Chevrolet,Prata
Sofia Martins da Costa,CBF4C60,VW,Preto
Daniel Santana Castilho,AED8A41,Hyundai,Vermelho
Miguel Cristine Melo,ADC4C88,Hyundai,Vermelho
Victor Franco Camargo,DDC2D41,Fiat,Preto
Erik Matos Senzaki,AEA4E84,Toyota,Preto
Mariana Queiroz Camargo,CAA8C49,VW,Branco
Rafael Ponciano Araujo,ACD4E14,VW,Prata
Guilherme Paschoalino Pereira,FCD4E57,VW,Preto
Larissa Matos Mengue,FAD0B20,Fiat,Branco
Giovanna Ferreira Ribeiro,EDC0C22,Toyota,Vermelho
Beatriz Gomes Melo,FCA6D38,Honda,Cinza
André Matos Silva,DDE7B97,Chevrolet,Branco
Maria Ferreira Pinto,EEB4B17,Honda,Prata
Samuel Queiroz Soares,CAF8A99,VW,Prata
Henrique Bellini Castilho,EEF5B75,Fiat,Cinza
Samuel Alves Pinto,FBD1E48,Fiat,Branco
Rafael Alves dos Santos,BAD4A62,Toyota,Prata
Vitória Ferreira Camargo,CCA6E18,Fiat,Preto
Livia Amorim da Costa,AEB0C69,Hyundai,Prata
Matheus Martins Dias,BDE4A31,Toyota,Preto
Yasmin Ponciano Machado,CAF6E70,Chevrolet,Azul Claro
Rafael Alves Campos,FAA6C41,Toyota,Cinza
Giovanna Santana Mendes,BCC3B63,Toyota,Preto
Guilherme Fernandes Pereira,ECB9A10,Hyundai,Azul Claro
Pedro da Silva Rodrigues,DDD3C99,Hyundai,Branco
Livia Martins Campos,DAB9C21,VW,Branco
Sofia Matos dos Santos,ADB4A17,Honda,Vermelho
Sofia Bellini Domingues,FCA3B11,Toyota,Branco
Matheus Mesquita Ribeiro,DAE5B61,Hyundai,Vermelho
Eduardo Mesquita Athayde,CAE3E97,VW,Cinza
Daniel da Silva Domingues,DDD9A96,VW,Branco
André Queiroz Mengue,DFA4B61,Chevrolet,Azul Claro
Livia de Almeida Mengue,CDB4B65,Toyota,Branco
Eduardo da Silva Amancio,DDD3B94,Toyota,Azul Claro
Henrique Queiroz Campos,CFE9D27,Fiat,Branco
Samuel Vieira Senzaki,FBD9C86,Fiat,Azul Claro
André Nascimento Soares,CDA8B80,Hyundai,Cinza
Gabriel de Oliveira Mendes,EFF8B84,VW,Cinza
Beatriz Paschoalino Dias,ACD1D10,Chevrolet,Azul Claro
Gabriel Queiroz Soares,EFB2E55,Hyundai,Branco
Maria Santana Mendonça,ECB7E67,Fiat,Azul Claro
Pedro Braz Ribeiro,DBE8A46,Honda,Prata
Victor de Oliveira Sanches,AEA4C65,Hyundai,Branco
Matheus Cristine Mendonça,EDB0E45,Toyota,Prata
Daniel Ponciano Silva,FFF3E89,VW,Branco
Erik Ferreira Ribeiro,CEB7D62,Hyundai,Azul Claro
Rafael Amorim Melo,DBB5E62,VW,Branco
Mariana Ponciano Lopes,CCC7E56,Chevrolet,Cinza
Vinícius da Silva Pereira,DEF7D88,Hyundai,Preto
Guilherme Mesquita Araujo,AFD5A32,Fiat,Azul Claro
Matheus Nascimento Melo,AFE1D80,Hyundai,Azul Claro
Guilherme de Oliveira Amancio,FFA5D57,VW,Branco
Henrique Gomes Lopes,DBD7A81,VW,Azul Claro
Beatriz de Oliveira Machado,CFC3A93,Fiat,Vermelho
Pedro Gomes da Costa,DFC3D10,VW,Preto
Beatriz Cruz Ribeiro,FFF8D59,Fiat,Azul Claro
Felipe Martins Mengue,DEC1B29,VW,Preto
Yasmin Martins Senzaki,EBC5D27,VW,Vermelho
Victor Cruz Dias,BBE9B98,Fiat,Preto
Henrique Fernandes Soares,DDF2D74,Toyota,Preto
Pedro Martins Domingues,FBD1D34,Hyundai,Azul Claro
Giovanna de Medeiros Camargo,CAB3A24,Chevrolet,Branco
Samuel Amorim Pinto,ABB9D24,Hyundai,Vermelho
Miguel Ferreira Campos,FBD2A90,Chevrolet,Prata
Larissa Bellini Lopes,EEA6B79,VW,Prata
Daniel da Silva da Costa,DDC3A78,Chevrolet,Cinza
Guilherme de Oliveira Amancio,DEE4C37,Chevrolet,Cinza
Mariana Matos Rodrigues,FCC6A63,Toyota,Preto
Daniel Franco Trindade,AAC5A42,Toyota,Prata
Pedro Mesquita Melo,CCA3E40,Honda,Cinza
Samuel Gomes Mengue,FDE2A73,Chevrolet,Vermelho
Felipe Braz Senzaki,ACB8E82,Toyota,Branco
Daniel Alves Trindade,BFD4B89,Hyundai,Azul Claro
André Braz da Costa,FAE1C46,VW,Prata
Victor Bellini Mendonça,AFB3B72,Hyundai,Prata
Daniel Amorim Soares,CCC1C84,Honda,Branco
Yasmin Amorim Dias,FBF0B25,Toyota,Branco
Eduardo Ponciano dos Santos,ECB4C34,Hyundai,Branco
Clara de Medeiros Machado,FFF7D99,VW,Azul Claro
Victor Bellini Castilho,AAC9B76,Fiat,Cinza
Sofia Amorim Lima,DAB7B14,Fiat,Branco
Henrique Alves Lopes,DFD9E92,Honda,Preto
Sofia de Medeiros Sanches,CDC3B39,Hyundai,Cinza
Vitória Cristine Senzaki,EEA2E12,Honda,Vermelho
Guilherme Paschoalino Dias,CAF3D72,Toyota,Cinza
Samuel Ferreira Trindade,EBA5B12,Chevrolet,Branco
Eduardo de Oliveira Amaral,DEA1B98,Chevrolet,Prata
Henrique Santana Sanches,AAF2B19,Toyota,Preto
Miguel Franco Ribeiro,FDD1C71,Toyota,Prata
Felipe Alves Campos,CFF8D31,Honda,Preto
Clara Matos Castilho,EEB2E76,VW,Vermelho
Henrique Cristine Trindade,DEA4D97,VW,Azul Claro
Larissa Mesquita Lima,BDE7D13,VW,Cinza
Maria de Almeida Domingues,FBF8A95,Chevrolet,Prata
Vitória de Medeiros Sanches,ADD1E58,Hyundai,Vermelho
Vitória Cruz Mengue,AAF1D84,Fiat,Prata
Gabriel de Oliveira Dias,AAC5A71,VW,Azul Claro
Vitória Nascimento Pinto,ABA0A47,VW,Azul Claro
Mariana Martins Pereira,EBC7B83,VW,Vermelho
Pedro Matos Sanches,DDD5B61,Toyota,Preto
Eduardo Cristine Amaral,ACE9B65,VW,Prata
Henrique Bellini dos Santos,AEF3E10,Toyota,Preto
Gabriel de Medeiros Dias,EFF6C52,Chevrolet,Azul Claro
Matheus Nascimento da Costa,CEC9E35,Hyundai,Preto
Guilherme Cruz Soares,ABB8A45,Chevrolet,Cinza
Samuel Ponciano Ribeiro,FDF4E62,Fiat,Prata
Matheus Alves Lopes,AAB0C54,Toyota,Branco
Rafael Cruz Domingues,DEE9B31,Honda,Preto
Gabriel Franco Soares,FFE2E13,Fiat,Azul Claro
Rafael Vieira Machado,FBE0E90,Honda,Prata
Miguel de Medeiros Domingues,DCF6E52,VW,Preto
Mariana Gomes Pereira,CBA6A38,Toyota,Vermelho
Thiago Martins Melo,FBA0C67,VW,Preto
Erik Ponciano Mengue,BBE3B89,Toyota,Vermelho
Yasmin Amorim Domingues,BAF4D27,Chevrolet,Cinza
Miguel Nascimento Dias,FDB4C68,VW,Vermelho
Pedro Amorim Rodrigues,DFF6B60,VW,Azul Claro
Rafael de Medeiros Camargo,FAB6D10,Toyota,Preto
Giovanna Gomes Melo,CDC9C10,Honda,Preto
Gabriel Cristine Pinto,DCF6B12,Honda,Cinza
Rafael Gomes Rodrigues,ECF8A85,Honda,Azul Claro
Beatriz Mesquita Sanches,BFA6D22,Honda,Branco
Pedro Cruz Mendonça,CCD8B65,Hyundai,Azul Claro
Guilherme Alves Camargo,DCF6D74,Fiat,Cinza
Vinícius Bellini Campos,BCF9E45,Fiat,Azul Claro
Miguel de Almeida Trindade,ADB7B64,Fiat,Cinza
Maria de Oliveira Senzaki,DDF5B58,Hyundai,Branco
Mariana Bellini Lopes,CAA9E75,Fiat,Cinza
Larissa Fernandes Mendonça,EFC9D66,Honda,Vermelho
Thiago Ferreira Soares,EAB5E55,Hyundai,Prata
Vinícius Bellini Mendonça,EBB5B63,VW,Preto
João Matos Mendes,CBA8B54,Honda,Cinza
Guilherme Vieira Silva,EBF3A85,VW,Prata
Guilherme Bellini Mendes,DFA9C73,Honda,Azul Claro
Mariana Franco Lima,AFC1C70,Fiat,Preto
Maria Amorim Athayde,ADF0D88,Fiat,Azul Claro
Matheus Ponciano Melo,BAF5E37,Honda,Vermelho
Gabriel Gomes Araujo,BFF1B10,VW,Prata
Gabriel de Medeiros Soares,EAF7C88,Honda,Cinza
Victor Fernandes Pinto,CAB6C44,Toyota,Branco
Henrique Queiroz Soares,DAE0B12,Toyota,Branco
Rafael Vieira Silva,FAF9E58,Fiat,Vermelho
Pedro da Silva Machado,EDA3A10,Fiat,Preto
Maria Amorim da Costa,FAF8D16,Fiat,Azul Claro
Victor Nascimento Sanches,BDD9E87,Honda,Azul Claro
Gabriel Cruz dos Santos,AEF0D16,Honda,Vermelho
André Queiroz Castilho,BEC6E34,Toyota,Cinza
Vitória de Oliveira Rodrigues,CFB0E63,Toyota,Preto
Henrique de Almeida Senzaki,BAF1E51,Chevrolet,Vermelho
Guilherme Ponciano Pereira,FDF2E50,Chevrolet,Vermelho
Guilherme Braz Campos,FAD1D44,VW,Cinza
Livia Cristine Pereira,DCD6C56,Honda,Cinza
Miguel Gomes Senzaki,EDF0E11,Honda,Vermelho
Clara Braz Domingues,ACA9E31,Chevrolet,Vermelho
Eduardo Paschoalino Castilho,BBE5E23,Hyundai,Vermelho
Henrique Amorim Rodrigues,BDB1B63,VW,Branco
Livia Nascimento Domingues,EFD7D10,Honda,Vermelho
Vitória Queiroz Lopes,CFF6E37,VW,Branco
Henrique Nascimento Rodrigues,FEA6D85,Hyundai,Prata
Erik Paschoalino Pinto,CFD6B50,Toyota,Cinza
Livia Queiroz Amaral,ABD0E23,Honda,Cinza
Thiago Mesquita Soares,DED4C20,VW,Cinza
André de Almeida Pereira,DDB7D84,VW,Azul Claro
Clara de Almeida Rodrigues,FFF5A63,Fiat,Azul Claro
Thiago Alves Amaral,FCE2E29,Honda,Preto
Matheus Ponciano Dias,DAB4A11,VW,Azul Claro
Victor Vieira Lima,EFF7D53,VW,Cinza
Victor Nascimento Soares,DBF6C33,VW,Branco
Vitória Braz Senzaki,CEA0A43,Fiat,Vermelho
Mariana Amorim da Costa,DAC6E81,Honda,Preto
Henrique Alves Dias,AAB3B33,Hyundai,Prata
Livia Martins Soares,ECB9A26,Chevrolet,Prata
João Franco Lima,EBC2C54,Honda,Azul Claro
Daniel Alves Soares,CEB3D42,Hyundai,Prata
Pedro de Oliveira Senzaki,BAA2B25,Honda,Branco
Sofia Alves Campos,DCA0A82,Fiat,Azul Claro
Thiago Amorim Dias,DCF1B40,Hyundai,Prata
Guilherme Nascimento Pereira,ADA9A96,Honda,Azul Claro
Sofia de Almeida Castilho,EBA5D10,Hyundai,Prata
Daniel Paschoalino Ribeiro,DCF8B43,VW,Cinza
Samuel Cristine Senzaki,BAC6E78,Chevrolet,Preto
Livia Ferreira Athayde,BED5D49,VW,Cinza
Guilherme Fernandes Castilho,FEF8E50,Fiat,Azul Claro
Sofia Alves Athayde,CFB4E35,Fiat,Prata
Beatriz Ponciano Campos,FAB1B28,Fiat,Vermelho
Livia Ferreira dos Santos,BAE1C13,Chevrolet,Vermelho
Pedro Queiroz Silva,DBF3D54,Fiat,Prata
Rafael de Oliveira Amaral,BFF3D78,Hyundai,Cinza
Matheus Franco Araujo,AFC4E32,Toyota,Cinza
André de Medeiros Domingues,FFE7B70,Hyundai,Vermelho
Giovanna Nascimento Trindade,CEF8B60,Chevrolet,Vermelho
Eduardo Bellini Araujo,FCD5C84,Toyota,Cinza
Beatriz Martins Athayde,DDB2A81,Chevrolet,Azul Claro
Mariana de Medeiros Amancio,CFE5C42,Fiat,Preto
Maria Amorim Domingues,ADA2D39,Toyota,Branco
João da Silva Mendonça,FBA7A11,Fiat,Preto
Gabriel de Oliveira da Costa,AED5A86,Fiat,Vermelho
Henrique Gomes Pinto,DAA4A30,Toyota,Prata
Gabriel Franco Araujo,DBF4D72,Chevrolet,Vermelho
Gabriel Paschoalino Lima,EDA2E52,Honda,Vermelho
Yasmin Ponciano dos Santos,CBE5C67,Honda,Preto
Vitória Queiroz Castilho,AFE4C67,Honda,Prata
Maria de Almeida Rodrigues,FCC2D68,Fiat,Branco
Larissa Ponciano Castilho,BFA4C67,Chevrolet,Prata
Vitória de Medeiros Trindade,DAC2C42,Fiat,Cinza
Eduardo Matos Rodrigues,FCE8B50,Honda,Vermelho
Yasmin Nascimento Pereira,CFD2C56,Hyundai,Vermelho
Rafael Mesquita Rodrigues,BFA9E84,Honda,Cinza
Mariana Cruz Sanches,FDC0B86,Hyundai,Preto
Samuel Alves Barbosa,FFE0E79,Honda,Prata
Victor Gomes Mendes,BDA3B30,Fiat,Preto
Vitória Cruz Sanches,ABA6C22,Fiat,Prata
Miguel de Medeiros Athayde,FFE0B62,VW,Prata
João Gomes Amancio,FEF1C35,Honda,Branco
Eduardo Queiroz Castilho,CBF1E13,Toyota,Cinza
Clara Nascimento Mengue,BAF4B94,Hyundai,Branco
Vitória da Silva Lopes,ADD9D85,VW,Vermelho
Giovanna Braz Amaral,CEB3C59,VW,Prata
Erik Gomes Soares,DEB7D97,Fiat,Branco
André Ponciano Senzaki,FAA9B65,Honda,Prata
Rafael Matos Soares,DEE7B86,VW,Branco
Beatriz Mesquita Machado,FFD7C89,Honda,Azul Claro
Henrique Fernandes Mendes,FFA6D94,VW,Branco
Beatriz Franco Machado,CBD0E27,Hyundai,Preto
Beatriz Nascimento Pinto,BDE3D79,VW,Prata
Vitória Vieira Machado,BFB8A66,Honda,Branco
Thiago Ponciano Athayde,BFE1B80,VW,Branco
Gabriel Queiroz Pinto,EED6D70,Chevrolet,Branco
Maria Vieira Amancio,CBE2C52,Hyundai,Cinza
Gabriel Franco Dias,FBB2C90,Fiat,Branco
Erik Alves Lopes,FFB3C42,Honda,Branco
Vinícius de Almeida Soares,DBB1B37,Chevrolet,Vermelho
Felipe Queiroz Sanches,EBA7A51,Honda,Azul Claro
Yasmin Ferreira Athayde,ABC0E79,Honda,Preto
Sofia Ferreira Athayde,AAC5E20,VW,Prata
Clara Cristine Mendes,AED9C40,Fiat,Vermelho
Felipe de Medeiros Athayde,DBD4E71,Toyota,Preto
Yasmin Amorim Ribeiro,BCF9D58,Chevrolet,Prata
Matheus Martins Lima,ADB8D98,VW,Azul Claro
Livia Santana Lopes,ECC3B67,Fiat,Branco
Larissa de Medeiros Araujo,CAF8D90,Toyota,Cinza
Miguel Martins Machado,CCF5B63,Toyota,Cinza
